"ID","GeneID","geneSymbol","chr","strand","exonStart_0base","exonEnd","upstreamES","upstreamEE","downstreamES","downstreamEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
41555,"ENSG00000234741.10","GAS5","chr1","-",173864674,173864704,173863900,173864304,173865470,173865547,41555,"31,58,55","11,13,12","82,77,108","0,3,0",179,149,3.43058914609e-14,1.50212157527269e-10,"0.701,0.788,0.792","1.0,0.955,1.0",-0.225
7735,"ENSG00000123159.16","GIPC1","chr19","-",14492856,14492912,14480592,14480778,14496036,14496052,7735,"1,2,1","0,0,0","0,4,0","4,6,3",205,149,3.697042672e-14,1.53359167470358e-10,"1.0,1.0,1.0","0.0,0.326,0.0",0.891
41556,"ENSG00000234741.10","GAS5","chr1","-",173864674,173864704,173863900,173864304,173865509,173865547,41556,"44,64,65","17,8,10","93,100,119","0,1,0",179,149,4.91828799909e-14,1.76197667567399e-10,"0.683,0.869,0.844","1.0,0.988,1.0",-0.197
39630,"ENSG00000080823.23","MOK","chr14","-",102265822,102265912,102263545,102263616,102283477,102283592,39630,"7,1,17","0,0,0","7,5,1","7,11,8",239,149,1.2712053632e-13,4.356089160896e-10,"1.0,1.0,1.0","0.384,0.221,0.072",0.774
30134,"ENSG00000124570.21","SERPINB6","chr6","-",2968778,2968913,2955523,2955670,2971116,2971276,30134,"7,1,15","0,0,0","7,6,1","14,7,6",284,149,1.4832579609e-13,4.87095734118056e-10,"1.0,1.0,1.0","0.208,0.31,0.08",0.801
58928,"ENSG00000213020.10","ZNF611","chr19","-",52711206,52711304,52707420,52707542,52714014,52714141,58928,"14,1,4","0,0,0","0,1,1","3,3,1",247,149,4.59965399102e-13,1.45008691720897e-09,"1.0,1.0,1.0","0.0,0.167,0.376",0.819
5485,"ENSG00000170906.16","NDUFA3","chr19","+",54105596,54105703,54103113,54103188,54106810,54106961,5485,"5,9,12","0,0,1","7,11,9","30,11,15",256,149,1.27331478694e-12,3.71690018269171e-09,"1.0,1.0,0.875","0.12,0.368,0.259",0.709
50957,"ENSG00000004777.19","ARHGAP33","chr19","+",35777644,35777742,35775542,35775664,35777823,35777908,50957,"19,52,44","0,0,0","12,33,61","10,9,16",247,149,1.33082433962e-12,3.7460328688268e-09,"1.0,1.0,1.0","0.42,0.689,0.697",0.398
107667,"ENSG00000123352.18","SPATS2","chr12","+",49441729,49441816,49371227,49371290,49460769,49461028,107667,"2,0,0","92,78,78","9,23,8","42,69,77",236,149,1.79944947831e-12,4.72745368776676e-09,"0.014,0.0,0.0","0.119,0.174,0.062",-0.114
105831,"ENSG00000105640.13","RPL18A","chr19","+",17861292,17861307,17859931,17859974,17862093,17862223,105831,"0,0,11","44,37,51","42,26,38","60,48,50",164,149,5.18829423868e-12,1.31908196910182e-08,"0.0,0.0,0.164","0.389,0.33,0.408",-0.321
53173,"ENSG00000204685.9","STARD7-AS1","chr2","+",96237904,96238099,96208388,96208979,96240443,96240688,53173,"1,12,13","0,0,0","2,11,7","1,10,6",344,149,6.50235421062e-12,1.6015095222188e-08,"1.0,1.0,1.0","0.464,0.323,0.336",0.626
78924,"ENSG00000281706.5","LINC01012","chr6","+",27711089,27711230,27702313,27702417,27713003,27713277,78924,"6,1,1","2,7,3","2,1,6","0,0,0",290,149,6.83819667557e-12,1.6331893060153e-08,"0.607,0.068,0.146","1.0,1.0,1.0",-0.726
64906,"ENSG00000137411.19","VARS2","chr6","+",30923352,30923505,30923103,30923231,30924353,30924560,64906,"122,147,151","1,2,1","118,193,118","14,15,19",302,149,7.99538213414e-12,1.85340012618307e-08,"0.984,0.973,0.987","0.806,0.864,0.754",0.173
78431,"ENSG00000255717.9","SNHG1","chr11","-",62854887,62854938,62853551,62854551,62855132,62855208,78431,"516,1715,742","174,242,288","658,834,588","579,654,465",200,149,9.22040221951e-12,2.07630285980194e-08,"0.688,0.841,0.657","0.458,0.487,0.485",0.252
98489,"ENSG00000025434.19","NR1H3","chr11","+",47259179,47259259,47248955,47248999,47259790,47259979,98489,"0,0,2","40,23,72","13,15,34","54,89,55",229,149,1.20449206165e-11,2.49821162734065e-08,"0.0,0.0,0.018","0.135,0.099,0.287",-0.168
35030,"ENSG00000236753.7","MKLN1-AS","chr7","-",131321878,131321931,131309912,131314765,131323364,131323868,35030,"3,2,5","0,0,3","0,0,0","2,8,5",202,149,3.940403559e-11,7.76407266256462e-08,"1.0,1.0,0.551","0.0,0.0,0.0",0.85
51031,"ENSG00000137312.15","FLOT1","chr6","-",30741613,30741704,30740678,30740798,30742146,30742203,51031,"7,17,8","0,0,0","17,7,20","4,41,25",240,149,4.25697255224e-11,7.98841170725704e-08,"1.0,1.0,1.0","0.725,0.096,0.332",0.616
28637,"ENSG00000235903.11","CPB2-AS1","chr13","+",46094852,46095002,46052797,46052965,46113183,46113507,28637,"8,1,2","0,0,0","7,0,1","1,6,6",299,149,6.52885523422e-11,1.19667843089546e-07,"1.0,1.0,1.0","0.777,0.0,0.077",0.715
64443,"ENSG00000039319.17","ZFYVE16","chr5","+",80427491,80427545,80408063,80408153,80434108,80434217,64443,"1,1,0","28,46,18","4,17,4","12,11,4",203,149,6.86747325673e-11,1.23013614711176e-07,"0.026,0.016,0.0","0.197,0.531,0.423",-0.37
70130,"ENSG00000116698.22","SMG7","chr1","+",183501130,183501267,183472499,183472649,183502252,183502391,70130,"18,23,17","0,0,0","15,24,12","5,15,3",286,149,8.63977778209e-11,1.50445813838245e-07,"1.0,1.0,1.0","0.61,0.455,0.676",0.42
91736,"ENSG00000105339.11","DENND3","chr8","+",141160631,141160787,141155848,141155970,141163332,141163429,91736,"19,32,53","2,0,0","33,28,30","12,10,12",305,149,9.00606256238e-11,1.50670085852236e-07,"0.823,1.0,1.0","0.573,0.578,0.55",0.374
25949,"ENSG00000140525.20","FANCI","chr15","+",89245194,89245311,89244003,89244033,89247628,89247731,25949,"55,49,33","52,4,45","36,37,26","0,0,0",266,149,9.36906108251e-11,1.5069847943225e-07,"0.372,0.873,0.291","1.0,1.0,1.0",-0.488
39711,"ENSG00000255666.7","LINC02700","chr11","+",94643969,94644134,94641999,94642157,94647334,94647578,39711,"11,9,12","4,12,5","25,26,15","1,0,0",314,149,1.11128661828e-10,1.75172109639476e-07,"0.566,0.262,0.532","0.922,1.0,1.0",-0.521
32474,"ENSG00000090615.16","GOLGA3","chr12","-",132827807,132827902,132827606,132827713,132828802,132828858,32474,"3,5,9","0,1,0","0,1,0","1,1,3",244,149,1.35871869311e-10,2.09975321171499e-07,"1.0,0.753,1.0","0.0,0.379,0.0",0.791
78615,"ENSG00000155111.15","CDK19","chr6","-",110773875,110773937,110746125,110746201,110815807,110815958,78615,"1,6,2","3,5,2","4,4,10","0,0,0",211,149,1.68420166702e-10,2.55269912281118e-07,"0.191,0.459,0.414","1.0,1.0,1.0",-0.645
7854,"ENSG00000235954.9","TTC28-AS1","chr22","+",27997985,27998838,27997410,27997739,27999429,28000723,7854,"20,29,21","0,0,0","21,8,17","4,3,2",1002,149,2.15459206032e-10,3.17886194794523e-07,"1.0,1.0,1.0","0.438,0.284,0.558",0.573
101579,"ENSG00000185238.13","PRMT3","chr11","+",20392210,20392260,20389743,20389826,20392896,20392999,101579,"84,79,84","0,0,0","56,41,30","8,16,1",199,149,2.29396834861e-10,3.28725664355813e-07,"1.0,1.0,1.0","0.84,0.657,0.957",0.182
109165,"ENSG00000180776.17","ZDHHC20","chr13","-",21413651,21413772,21391721,21391854,21459053,21459248,109165,"24,33,29","5,6,10","37,46,13","0,0,0",270,149,3.31318639191e-10,4.50222043928253e-07,"0.726,0.752,0.615","1.0,1.0,1.0",-0.302
29894,"ENSG00000152795.18","HNRNPDL","chr4","-",82428017,82428179,82427189,82427304,82429247,82429397,29894,"180,142,192","0,0,0","158,164,134","4,9,15",311,149,3.93838961443e-10,5.26108775358136e-07,"1.0,1.0,1.0","0.95,0.897,0.811",0.114
106412,"ENSG00000271853.5","ENSG00000271853","chr1","-",153628120,153628237,153626331,153626533,153632033,153632240,106412,"2,0,0","6,11,3","4,9,10","0,0,5",266,149,4.56284787731e-10,5.99368092416979e-07,"0.157,0.0,0.0","1.0,1.0,0.528",-0.79
23729,"ENSG00000146067.17","FAM193B","chr5","-",177553496,177553802,177553167,177553350,177554248,177554347,23729,"21,25,8","0,0,0","6,9,21","1,2,9",455,149,4.91046869833e-10,6.34456705670293e-07,"1.0,1.0,1.0","0.663,0.596,0.433",0.436
23092,"ENSG00000204713.11","TRIM27","chr6","-",28908807,28908840,28903001,28904665,28908972,28908989,23092,"52,58,67","0,1,0","60,92,56","15,17,3",182,149,5.89081339264e-10,7.36959456414161e-07,"1.0,0.979,1.0","0.766,0.816,0.939",0.153
41535,"ENSG00000234741.10","GAS5","chr1","-",173864483,173864502,173864143,173864304,173864674,173864704,41535,"308,385,412","166,206,212","289,399,313","320,350,343",168,149,6.42157438335e-10,7.786405923442e-07,"0.622,0.624,0.633","0.445,0.503,0.447",0.161
78039,"ENSG00000288009.1","ENSG00000288009","chr6","-",89132335,89132478,89130935,89131982,89143746,89143833,78039,"6,7,3","1,8,5","2,19,1","0,0,0",292,149,6.39554076365e-10,7.786405923442e-07,"0.754,0.309,0.234","1.0,1.0,1.0",-0.568
17338,"ENSG00000130731.16","METTL26","chr16","-",634888,634956,634718,634797,635280,635340,17338,"209,213,312","96,117,142","283,267,274","4,0,117",217,149,9.43250366703e-10,1.10958623360742e-06,"0.599,0.556,0.601","0.98,1.0,0.617",-0.28
40295,"ENSG00000125462.20","MIR9-1HG","chr1","-",156414055,156414298,156407351,156407975,156414653,156414753,40295,"1,4,2","0,0,0","11,1,0","1,6,2",392,149,1.02926633883e-09,1.19296509551304e-06,"1.0,1.0,1.0","0.807,0.06,0.0",0.711
98127,"ENSG00000174744.14","BRMS1","chr11","-",66338720,66338785,66337338,66337889,66340773,66340870,98127,"2,8,11","0,0,0","7,7,2","5,2,10",214,149,1.10779352358e-09,1.24729637944225e-06,"1.0,1.0,1.0","0.494,0.709,0.122",0.558
26630,"ENSG00000249740.4","OSMR-DT","chr5","-",38822582,38822710,38796352,38796469,38845667,38845761,26630,"1,0,0","7,2,2","13,7,3","0,5,0",277,149,1.15547105217e-09,1.28265423910956e-06,"0.071,0.0,0.0","1.0,0.43,1.0",-0.786
40292,"ENSG00000125462.20","MIR9-1HG","chr1","-",156413412,156414298,156407362,156407975,156414653,156414753,40292,"12,11,15","0,0,0","21,10,8","1,6,2",1035,149,1.23507504224e-09,1.33345807471432e-06,"1.0,1.0,1.0","0.751,0.194,0.365",0.563
96315,"ENSG00000073584.20","SMARCE1","chr17","-",40630207,40630286,40627780,40629568,40630713,40630924,96315,"8,12,8","1,0,0","1,7,3","5,4,7",228,149,1.44077139108e-09,1.53451888091852e-06,"0.839,1.0,1.0","0.116,0.534,0.219",0.657
7736,"ENSG00000123159.16","GIPC1","chr19","-",14492856,14492912,14482688,14483006,14496036,14496052,7736,"2,2,10","0,0,0","4,5,1","1,4,11",205,149,1.80980275211e-09,1.87683689352039e-06,"1.0,1.0,1.0","0.744,0.476,0.062",0.573
14638,"ENSG00000185359.14","HGS","chr17","+",81684812,81685069,81684046,81684103,81686311,81686387,14638,"53,28,34","0,1,0","41,43,20","7,9,5",406,149,2.14834305901e-09,2.0674680515504e-06,"1.0,0.911,1.0","0.682,0.637,0.595",0.332
17393,"ENSG00000103126.15","AXIN1","chr16","-",346147,347106,314542,314683,352368,352449,17393,"429,578,470","7,6,24","472,595,495","0,3,0",1108,149,2.19446716354e-09,2.0674680515504e-06,"0.892,0.928,0.725","1.0,0.964,1.0",-0.14
40299,"ENSG00000125462.20","MIR9-1HG","chr1","-",156414083,156414298,156407349,156407975,156414653,156414753,40299,"1,4,1","0,0,0","11,1,0","1,6,2",364,149,2.20348050917e-09,2.0674680515504e-06,"1.0,1.0,1.0","0.818,0.064,0.0",0.706
41392,"ENSG00000104218.16","CSPP1","chr8","+",67172777,67172973,67172415,67172555,67175295,67175436,41392,"4,2,0","64,62,54","5,15,11","30,37,28",345,149,2.18812790109e-09,2.0674680515504e-06,"0.026,0.014,0.0","0.067,0.149,0.145",-0.107
69440,"ENSG00000099246.18","RAB18","chr10","+",27531528,27531615,27509874,27509930,27532506,27532579,69440,"3,16,4","0,0,0","6,7,2","10,2,1",236,149,2.16386886187e-09,2.0674680515504e-06,"1.0,1.0,1.0","0.275,0.688,0.558",0.493
42463,"ENSG00000113456.20","RAD1","chr5","-",34913926,34914026,34911617,34911812,34914694,34914961,42463,"9,20,18","24,27,47","1,10,0","38,74,50",249,149,2.29272423269e-09,2.12589482822897e-06,"0.183,0.307,0.186","0.016,0.075,0.0",0.195
50748,"ENSG00000101391.21","CDK5RAP1","chr20","-",33392141,33392242,33385649,33385770,33401427,33401452,50748,"13,14,5","1,0,0","0,1,9","2,5,5",250,149,2.6705039291e-09,2.44739264153508e-06,"0.886,1.0,1.0","0.0,0.107,0.518",0.754
97774,"ENSG00000103248.19","MTHFSD","chr16","-",86548034,86548111,86546558,86546649,86548463,86548577,97774,"13,13,16","47,75,78","0,3,2","71,90,37",226,149,2.96215230122e-09,2.68347165081212e-06,"0.154,0.103,0.119","0.0,0.022,0.034",0.107
66513,"ENSG00000171848.16","RRM2","chr2","+",10142254,10142375,10141853,10141954,10198591,10199288,66513,"10,15,5","1,12,6","20,14,13","0,0,0",270,149,3.20905013673e-09,2.87410552870881e-06,"0.847,0.408,0.315","1.0,1.0,1.0",-0.477
31349,"ENSG00000196132.14","MYT1","chr20","+",64195912,64196054,64190062,64190160,64198861,64198916,31349,"17,24,14","0,0,0","25,32,16","4,12,5",291,149,3.46679518426e-09,3.03594958274947e-06,"1.0,1.0,1.0","0.762,0.577,0.621",0.347
63241,"ENSG00000183386.10","FHL3","chr1","-",37999256,37999432,37998717,37999148,38005356,38005514,63241,"123,165,231","2,7,0","140,165,122","15,18,13",325,149,4.26519175534e-09,3.69407789227607e-06,"0.966,0.915,1.0","0.811,0.808,0.811",0.15
8751,"ENSG00000130270.16","ATP8B3","chr19","-",1789889,1789989,1789360,1789727,1790756,1790832,8751,"0,1,1","2,1,2","1,7,11","0,0,0",249,149,5.15764031483e-09,4.3709615205734e-06,"0.0,0.374,0.23","1.0,1.0,1.0",-0.799
9285,"ENSG00000167220.12","HDHD2","chr18","-",47137234,47137338,47136338,47136449,47150377,47150459,9285,"21,13,17","37,67,34","0,2,3","30,43,40",253,149,5.62127022707e-09,4.66358329417392e-06,"0.251,0.103,0.227","0.0,0.027,0.042",0.171
76406,"ENSG00000132541.11","RIDA","chr8","-",98113637,98113825,98108645,98108713,98117031,98117114,76406,"2,7,9","2,6,6","6,19,9","0,0,1",337,149,6.09923689332e-09,4.95578717264965e-06,"0.307,0.34,0.399","1.0,1.0,0.799",-0.584
17161,"ENSG00000167962.15","ZNF598","chr16","-",1998964,1999121,1998701,1998852,1999495,2000256,17161,"126,129,140","0,1,0","141,150,111","11,4,12",306,149,6.46063147425e-09,5.09194669643014e-06,"1.0,0.984,1.0","0.862,0.948,0.818",0.119
5553,"ENSG00000213793.6","ZNF888","chr19","-",52917221,52917404,52915195,52915322,52917858,52917997,5553,"2,9,11","12,24,14","0,0,0","12,41,15",332,149,6.54861587179e-09,5.10669700699609e-06,"0.07,0.144,0.261","0.0,0.0,0.0",0.158
10136,"ENSG00000176155.21","CCDC57","chr17","-",82151559,82151773,82134072,82134194,82157747,82157948,10136,"33,48,38","0,0,0","37,23,45","3,6,8",363,149,6.60893351156e-09,5.10669700699609e-06,"1.0,1.0,1.0","0.835,0.611,0.698",0.285
72834,"ENSG00000154134.15","ROBO3","chr11","+",124879189,124879341,124876469,124876932,124880417,124880515,72834,"2,8,2","4,3,1","5,7,7","0,0,0",301,149,6.8772011419e-09,5.262394252416e-06,"0.198,0.569,0.497","1.0,1.0,1.0",-0.579
56538,"ENSG00000119979.18","DENND10","chr10","+",119104763,119105006,119104116,119104197,119105310,119105495,56538,"180,200,237","16,20,12","303,361,241","13,0,0",392,149,7.67368435461e-09,5.76001364198654e-06,"0.81,0.792,0.882","0.899,1.0,1.0",-0.138
83233,"ENSG00000175029.17","CTBP2","chr10","-",125133511,125133612,125122656,125122868,125160826,125161170,83233,"2,5,7","2,5,2","9,2,3","0,0,0",250,149,8.3891266156e-09,6.17933658138798e-06,"0.373,0.373,0.676","1.0,1.0,1.0",-0.526
96411,"ENSG00000187609.16","EXD3","chr9","-",137352065,137352201,137351317,137351528,137352619,137352786,96411,"1,1,1","0,4,7","1,5,8","0,0,0",285,149,8.34242941394e-09,6.17933658138798e-06,"1.0,0.116,0.069","1.0,1.0,1.0",-0.605
42659,"ENSG00000197713.15","RPE","chr2","+",210017789,210017887,210016506,210016641,210019668,210019735,42659,"7,11,12","0,0,0","2,1,3","2,1,4",247,149,9.94388127395e-09,7.12479093278517e-06,"1.0,1.0,1.0","0.376,0.376,0.311",0.646
40293,"ENSG00000125462.20","MIR9-1HG","chr1","-",156413749,156414298,156407369,156407975,156414653,156414753,40293,"9,7,13","0,0,0","21,6,4","1,6,2",698,149,1.13596494433e-08,7.9231041670238e-06,"1.0,1.0,1.0","0.818,0.176,0.299",0.569
4448,"ENSG00000131069.20","ACSS2","chr20","+",34921329,34921462,34920531,34920709,34921785,34921866,4448,"0,0,0","1,1,5","2,3,5","1,2,0",282,149,1.22140203507e-08,8.44428082403878e-06,"0.0,0.0,0.0","0.514,0.442,1.0",-0.652
65532,"ENSG00000204580.14","DDR1","chr6","+",30884537,30884710,30882927,30882983,30888687,30888814,65532,"165,156,186","94,136,175","226,278,188","0,2,111",322,149,1.33263788893e-08,8.9770816423947e-06,"0.448,0.347,0.33","1.0,0.985,0.439",-0.433
91202,"ENSG00000253710.5","ALG11","chr13","+",52024585,52024937,52018912,52019143,52028318,52028689,91202,"179,137,199","1,4,0","106,111,83","6,13,8",501,149,1.41303211354e-08,9.43797678208942e-06,"0.982,0.911,1.0","0.84,0.717,0.755",0.194
111742,"ENSG00000108021.22","TASOR2","chr10","+",5720259,5720397,5714134,5714207,5720543,5720668,111742,"36,36,26","14,10,0","40,73,34","0,0,0",287,149,1.47616338042e-08,9.77679133006742e-06,"0.572,0.651,1.0","1.0,1.0,1.0",-0.259
91200,"ENSG00000253710.5","ALG11","chr13","+",52024005,52024937,52014564,52019143,52028318,52028749,91200,"447,425,503","1,4,0","314,294,225","6,13,8",1081,149,1.56122775818e-08,1.02540138134131e-05,"0.984,0.936,1.0","0.878,0.757,0.795",0.163
25895,"ENSG00000247095.5","MIR210HG","chr11","-",567796,567853,567015,567555,568330,568437,25895,"0,4,6","2,6,2","2,5,7","0,0,0",206,149,1.60609169297e-08,1.04614972546637e-05,"0.0,0.325,0.685","1.0,1.0,1.0",-0.663
58520,"ENSG00000172965.17","MIR4435-2HG","chr2","-",111208755,111208977,111207775,111208661,111344060,111344237,58520,"4,7,3","0,0,0","0,0,4","7,2,0",371,149,1.69211639145e-08,1.09314879829616e-05,"1.0,1.0,1.0","0.0,0.0,1.0",0.667
109037,"ENSG00000233184.9","DPH5-DT","chr1","+",101072659,101072830,101025849,101026061,101075394,101075716,109037,"4,10,15","6,16,14","24,10,10","3,0,1",320,149,1.7160604715e-08,1.09960411431929e-05,"0.237,0.225,0.333","0.788,1.0,0.823",-0.605
40137,"ENSG00000284879.1","NCAL1","chr2","+",87583257,87583346,87455475,87455645,87606592,87606769,40137,"13,38,43","1,17,6","26,30,28","0,0,0",238,149,1.77737712326e-08,1.12970949975594e-05,"0.891,0.583,0.818","1.0,1.0,1.0",-0.236
56541,"ENSG00000119979.18","DENND10","chr10","+",119104763,119105022,119104091,119104197,119105310,119105495,56541,"188,205,255","16,20,12","309,362,242","13,0,0",408,149,1.84747570575e-08,1.16487038198949e-05,"0.811,0.789,0.886","0.897,1.0,1.0",-0.137
24514,"ENSG00000075399.14","VPS9D1","chr16","-",89708426,89708531,89707133,89707954,89708856,89708956,24514,"10,29,49","0,0,0","34,23,12","8,6,1",254,149,2.33082750878e-08,1.43518882894137e-05,"1.0,1.0,1.0","0.714,0.692,0.876",0.239
16380,"ENSG00000174628.17","IQCK","chr16","+",19763847,19764112,19733697,19733827,19788837,19788922,16380,"24,17,25","3,3,5","11,8,7","14,15,7",414,149,2.43438841308e-08,1.47589479059154e-05,"0.742,0.671,0.643","0.22,0.161,0.265",0.47
22636,"ENSG00000231500.7","RPS18","chr6","+",33275964,33276066,33272131,33272726,33276390,33276510,22636,"74,49,81","0,0,0","112,128,117","19,15,0",251,149,2.47914178075e-08,1.49155388892986e-05,"1.0,1.0,1.0","0.778,0.835,1.0",0.129
8965,"ENSG00000166377.21","ATP9B","chr18","+",79213961,79214038,79206935,79207012,79253380,79253541,8965,"4,12,13","2,5,7","6,25,14","0,1,0",226,149,2.7869155983e-08,1.60195615134643e-05,"0.569,0.613,0.55","1.0,0.943,1.0",-0.404
35120,"ENSG00000065534.20","MYLK","chr3","-",123876558,123876617,123831547,123831670,123884205,123884308,35120,"0,0,0","6,6,5","2,7,4","6,1,2",208,149,2.77805156657e-08,1.60195615134643e-05,"0.0,0.0,0.0","0.193,0.834,0.589",-0.539
48149,"ENSG00000223745.8","CCDC18-AS1","chr1","-",93305387,93305470,93264639,93264772,93339356,93339536,48149,"5,8,14","6,3,3","1,2,14","0,0,0",232,149,2.77093747947e-08,1.60195615134643e-05,"0.349,0.631,0.75","1.0,1.0,1.0",-0.423
61275,"ENSG00000166169.17","POLL","chr10","-",101583507,101583681,101582762,101582891,101587245,101587406,61275,"183,212,268","1,2,0","219,188,119","13,1,15",323,149,2.78434457712e-08,1.60195615134643e-05,"0.988,0.98,1.0","0.886,0.989,0.785",0.103
48682,"ENSG00000143442.24","POGZ","chr1","-",151440927,151441086,151430665,151430841,151442080,151442205,48682,"178,258,250","13,23,13","190,200,174","51,36,31",308,149,3.02941921548e-08,1.70545482477183e-05,"0.869,0.844,0.903","0.643,0.729,0.731",0.171
23290,"ENSG00000049283.19","EPN3","chr17","+",50536028,50536199,50532724,50532985,50536420,50536591,23290,"3,0,0","3,30,22","10,9,13","6,5,17",320,149,3.22813604736e-08,1.79172917304703e-05,"0.318,0.0,0.0","0.437,0.456,0.263",-0.279
108423,"ENSG00000171160.18","MORN4","chr10","-",97619586,97619683,97617207,97617322,97633346,97633500,108423,"64,46,59","0,0,0","46,100,51","1,9,20",246,149,3.30458038711e-08,1.82133219028024e-05,"1.0,1.0,1.0","0.965,0.871,0.607",0.186
65945,"ENSG00000171163.16","ZNF692","chr1","-",248856287,248856422,248855557,248855946,248856513,248856562,65945,"130,148,156","0,1,2","140,112,110","6,6,15",284,149,3.4726903797e-08,1.87465816627435e-05,"1.0,0.987,0.976","0.924,0.907,0.794",0.113
22384,"ENSG00000124641.16","MED20","chr6","-",41909344,41909522,41906803,41907287,41916784,41916939,22384,"161,191,160","6,14,11","160,167,139","0,1,2",327,149,3.73642862206e-08,1.95355335731665e-05,"0.924,0.861,0.869","1.0,0.987,0.969",-0.101
27772,"ENSG00000275052.5","PPP4R3B","chr2","-",55598415,55599039,55588878,55588956,55603977,55604076,27772,"508,559,489","16,9,15","333,336,287","2,0,1",773,149,4.1484916613e-08,2.10944109861522e-05,"0.86,0.923,0.863","0.97,1.0,0.982",-0.102
31899,"ENSG00000068078.20","FGFR3","chr4","+",1803691,1803836,1801834,1802025,1804329,1804520,31899,"3,7,5","0,0,0","0,1,2","3,5,0",294,149,4.22211401396e-08,2.11182446903745e-05,"1.0,1.0,1.0","0.0,0.092,1.0",0.636
66311,"ENSG00000134313.17","KIDINS220","chr2","-",8727188,8727267,8726886,8726943,8733443,8733680,66311,"5,1,6","0,0,1","5,0,0","2,2,2",228,149,4.22426753577e-08,2.11182446903745e-05,"1.0,1.0,0.797","0.62,0.0,0.0",0.726
89653,"ENSG00000181690.8","PLAG1","chr8","-",56168027,56168386,56160908,56167503,56171090,56171189,89653,"1,1,3","0,7,2","2,1,2","0,0,0",508,149,4.23356297796e-08,2.11182446903745e-05,"1.0,0.04,0.306","1.0,1.0,1.0",-0.551
92214,"ENSG00000119801.13","YPEL5","chr2","+",30155849,30155910,30148244,30148541,30156627,30156792,92214,"3,8,15","34,23,22","1,0,0","22,29,24",210,149,4.80186084229e-08,2.3528721834828e-05,"0.059,0.198,0.326","0.031,0.0,0.0",0.184
