"ID","GeneID","geneSymbol","chr","strand","longExonStart_0base","longExonEnd","shortES","shortEE","flankingES","flankingEE","ID.1","IJC_SAMPLE_1","SJC_SAMPLE_1","IJC_SAMPLE_2","SJC_SAMPLE_2","IncFormLen","SkipFormLen","PValue","FDR","IncLevel1","IncLevel2","IncLevelDifference"
8042,"ENSG00000120948.19","TARDBP","chr1","+",11023160,11023329,11023192,11023329,11022123,11022250,8042,"72,56,81","0,1,0","58,59,69","6,14,3",181,149,4.11280074442e-08,2.8275657391933e-05,"1.0,0.979,1.0","0.888,0.776,0.95",0.122
11609,"ENSG00000122678.17","POLM","chr7","-",44074130,44074233,44074130,44074220,44074397,44074530,11609,"26,17,45","0,4,0","21,31,21","21,12,8",162,149,4.33865852134e-08,2.8275657391933e-05,"1.0,0.796,1.0","0.479,0.704,0.707",0.302
14066,"ENSG00000142186.18","SCYL1","chr11","+",65538441,65538704,65538446,65538704,65537966,65538182,14066,"33,27,41","0,0,0","21,38,47","13,14,0",154,149,4.77905119922e-08,2.90693754277889e-05,"1.0,1.0,1.0","0.61,0.724,1.0",0.222
3406,"ENSG00000231500.7","RPS18","chr6","+",33276175,33276505,33276390,33276505,33272627,33272726,3406,"39,27,28","0,0,0","51,36,28","19,15,0",364,149,6.1375377336e-08,3.47946054381168e-05,"1.0,1.0,1.0","0.524,0.496,1.0",0.327
10030,"ENSG00000162772.18","ATF3","chr1","+",212615147,212615261,212615151,212615261,212615021,212615060,10030,"9,17,2","0,1,0","14,17,6","11,8,3",153,149,6.86434565855e-08,3.47946054381168e-05,"1.0,0.943,1.0","0.553,0.674,0.661",0.352
8864,"ENSG00000215883.11","CYB5RL","chr1","-",54187651,54187882,54187651,54187739,54190737,54190896,8864,"1,4,5","0,0,0","2,5,1","0,8,10",292,149,8.1477489644e-08,3.91263481848345e-05,"1.0,1.0,1.0","1.0,0.242,0.049",0.57
15577,"ENSG00000198270.13","TMEM116","chr12","-",111933885,111936830,111933885,111934030,111938160,111938210,15577,"7,10,4","2,0,3","14,12,1","0,0,0",2949,149,9.87514345852e-08,4.50504044577682e-05,"0.15,1.0,0.063","1.0,1.0,1.0",-0.596
14251,"ENSG00000244462.8","RBM12","chr20","-",35658929,35659014,35658929,35658982,35664801,35664889,14251,"102,63,56","1,0,0","75,71,75","8,4,10",181,149,1.29358272871e-07,4.91777034031252e-05,"0.988,1.0,1.0","0.885,0.936,0.861",0.102
11098,"ENSG00000255717.9","SNHG1","chr11","-",62854518,62854938,62854518,62854551,62855132,62855216,11098,"441,1320,582","174,242,288","587,679,477","579,654,465",536,149,1.42571433992e-07,5.20328705497203e-05,"0.413,0.603,0.36","0.22,0.224,0.222",0.237
14603,"ENSG00000112763.17","BTN2A1","chr6","+",26467718,26469637,26467947,26469637,26466061,26466088,14603,"9,16,3","43,63,36","16,54,10","25,47,19",378,149,1.59134071476e-07,5.58438180056548e-05,"0.076,0.091,0.032","0.201,0.312,0.172",-0.162
14617,"ENSG00000110075.15","PPP6R3","chr11","+",68587944,68588024,68587977,68588024,68575957,68576043,14617,"57,20,51","7,9,5","31,51,33","0,1,0",182,149,2.68994761687e-07,9.09003039123033e-05,"0.87,0.645,0.893","1.0,0.977,1.0",-0.19
14727,"ENSG00000072952.21","IRAG1","chr11","-",10627715,10627763,10627715,10627760,10628750,10628828,14727,"0,4,3","1,1,0","0,0,0","1,5,1",152,149,3.81993497278e-07,0.000116176955638816,"0.0,0.797,1.0","0.0,0.0,0.0",0.599
11586,"ENSG00000291171.1","ENSG00000291171","chr12","+",132104374,132105304,132104377,132105304,132103996,132104170,11586,"1,8,3","12,5,2","0,0,0","8,7,16",152,149,4.91772328082e-07,0.00014021658504438,"0.076,0.611,0.595","0.0,0.0,0.0",0.427
5192,"ENSG00000125633.11","CCDC93","chr2","-",117958364,117958481,117958364,117958478,117973907,117973994,5192,"55,42,44","0,2,0","45,50,36","3,11,7",152,149,5.45923198536e-07,0.000142314378955499,"1.0,0.954,1.0","0.936,0.817,0.834",0.122
9857,"ENSG00000162777.17","DENND2D","chr1","-",111195915,111197989,111195915,111196056,111198629,111198742,9857,"86,149,142","0,0,0","124,138,86","1,7,2",2082,149,5.39562978075e-07,0.000142314378955499,"1.0,1.0,1.0","0.899,0.585,0.755",0.254
147,"ENSG00000230590.13","FTX","chrX","-",74274341,74274457,74274341,74274371,74280393,74280494,147,"1,3,2","0,0,0","1,0,0","0,1,4",235,149,5.81121386234e-07,0.000143301392648622,"1.0,1.0,1.0","1.0,0.0,0.0",0.667
15740,"ENSG00000161265.15","U2AF1L4","chr19","-",35744322,35744981,35744322,35744421,35745124,35745212,15740,"14,9,25","13,10,22","11,6,6","45,31,25",709,149,5.70383582144e-07,0.000143301392648622,"0.185,0.159,0.193","0.049,0.039,0.048",0.134
258,"ENSG00000046651.16","OFD1","chrX","+",13752703,13753441,13753367,13753441,13751248,13751368,258,"4,7,4","26,18,22","19,21,16","20,16,15",813,149,6.83644254984e-07,0.000159937696986513,"0.027,0.067,0.032","0.148,0.194,0.164",-0.127
2031,"ENSG00000100429.18","HDAC10","chr22","-",50249327,50249516,50249327,50249454,50249634,50249703,2031,"0,7,10","22,23,38","0,0,0","16,22,53",211,149,8.19888378079e-07,0.000182455160038849,"0.0,0.177,0.157","0.0,0.0,0.0",0.111
7601,"ENSG00000228705.4","LINC00659","chr20","-",62775314,62775520,62775314,62775386,62776805,62776921,7601,"49,45,79","0,0,3","72,116,77","12,14,6",283,149,8.5314960141e-07,0.000183415049202231,"1.0,1.0,0.933","0.76,0.814,0.871",0.163
7113,"ENSG00000162419.13","GMEB1","chr1","+",28690073,28690186,28690103,28690186,28683582,28683740,7113,"18,21,20","87,98,70","29,62,36","49,96,66",179,149,9.4616051316e-07,0.000187050704711045,"0.147,0.151,0.192","0.33,0.35,0.312",-0.167
11758,"ENSG00000145332.14","KLHL8","chr4","-",87185250,87185799,87185250,87185571,87195323,87195690,11758,"161,172,129","0,1,0","120,139,87","12,2,3",377,149,9.37005135038e-07,0.000187050704711045,"1.0,0.986,1.0","0.798,0.965,0.92",0.101
13039,"ENSG00000213930.12","GALT","chr9","+",34647540,34648171,34648114,34648171,34647088,34647258,13039,"2,1,1","0,6,3","4,8,3","0,1,0",723,149,9.63544840138e-07,0.000187050704711045,"1.0,0.033,0.064","1.0,0.622,1.0",-0.508
1302,"ENSG00000142303.14","ADAMTS10","chr19","-",8597233,8597322,8597233,8597317,8600927,8601145,1302,"3,5,6","0,0,0","2,5,0","0,9,5",154,149,1.53234598121e-06,0.000279622494651201,"1.0,1.0,1.0","1.0,0.35,0.0",0.55
16066,"ENSG00000115204.15","MPV17","chr2","-",27312993,27313154,27312993,27313074,27322447,27322522,16066,"47,64,52","17,42,24","81,163,63","19,18,9",229,149,1.60199950783e-06,0.000286600853126293,"0.643,0.498,0.585","0.735,0.855,0.82",-0.228
14316,"ENSG00000245573.9","BDNF-AS","chr11","+",27675296,27676140,27675576,27676140,27659170,27659228,14316,"7,2,5","4,3,8","0,0,0","2,7,1",429,149,1.92024216927e-06,0.0003185507191349,"0.378,0.188,0.178","0.0,0.0,0.0",0.248
16060,"ENSG00000129197.15","RPAIN","chr17","+",5425970,5428211,5428070,5428211,5422768,5422829,16060,"338,387,458","0,0,0","309,426,279","1,4,7",2249,149,2.72728975492e-06,0.000429030891791208,"1.0,1.0,1.0","0.953,0.876,0.725",0.149
1643,"ENSG00000267432.6","DNAH17-AS1","chr17","+",78488417,78489574,78489374,78489574,78485887,78486571,1643,"9,13,5","0,0,1","8,11,2","4,5,2",1106,149,3.11156028421e-06,0.000457901226340839,"1.0,1.0,0.402","0.212,0.229,0.119",0.614
8039,"ENSG00000116353.16","MECR","chr1","-",29216587,29216812,29216587,29216685,29220833,29220921,8039,"14,26,3","0,0,0","14,34,21","6,4,1",276,149,3.47741854756e-06,0.000503535254353427,"1.0,1.0,1.0","0.557,0.821,0.919",0.234
7446,"ENSG00000160753.17","RUSC1","chr1","+",155326609,155327132,155326897,155327132,155325863,155325910,7446,"294,355,400","42,45,66","464,572,463","36,40,31",437,149,3.73655497365e-06,0.000516550417872464,"0.705,0.729,0.674","0.815,0.83,0.836",-0.124
9566,"ENSG00000135951.16","TSGA10","chr2","-",99109388,99109556,99109388,99109512,99110849,99110915,9566,"5,6,1","4,2,5","7,4,3","0,1,0",193,149,3.99398746231e-06,0.000538024129402725,"0.491,0.698,0.134","1.0,0.755,1.0",-0.477
13516,"ENSG00000188747.9","NOXA1","chr9","+",137434202,137434406,137434223,137434406,137433964,137434079,13516,"1,7,1","4,6,6","0,0,0","17,9,2",170,149,4.00982472593e-06,0.000538024129402725,"0.18,0.506,0.127","0.0,0.0,0.0",0.271
940,"ENSG00000183337.18","BCOR","chrX","-",40063607,40063952,40063607,40063850,40064335,40064599,940,"14,18,7","1,0,0","12,23,8","7,2,4",251,149,4.54238694869e-06,0.000591918008922508,"0.893,1.0,1.0","0.504,0.872,0.543",0.325
7942,"ENSG00000106268.16","NUDT1","chr7","+",2242904,2243048,2242924,2243048,2242260,2242292,7942,"2,6,1","0,2,6","0,0,0","6,13,9",169,149,4.51533343482e-06,0.000591918008922508,"1.0,0.726,0.128","0.0,0.0,0.0",0.618
13276,"ENSG00000164164.17","OTUD4","chr4","-",145155568,145155686,145155568,145155683,145155935,145155996,13276,"61,77,59","8,1,14","29,48,41","24,14,23",152,149,4.60611339692e-06,0.000591918008922508,"0.882,0.987,0.805","0.542,0.771,0.636",0.242
4126,"ENSG00000197858.12","GPAA1","chr8","+",144085288,144085743,144085572,144085743,144084412,144084609,4126,"102,117,68","5,5,3","88,97,125","0,0,0",433,149,5.61562642276e-06,0.000692391560557598,"0.875,0.89,0.886","1.0,1.0,1.0",-0.116
3798,"ENSG00000288663.1","ENSG00000288663","chr12","+",53303033,53306861,53306679,53306861,53300149,53300262,3798,"366,378,534","0,0,0","540,647,492","8,3,1",3795,149,7.21144961546e-06,0.000843554696044321,"1.0,1.0,1.0","0.726,0.894,0.951",0.143
8405,"ENSG00000143643.13","TTC13","chr1","-",230916192,230916302,230916192,230916299,230920509,230920594,8405,"17,15,13","15,12,14","22,20,23","4,6,2",152,149,7.07216341067e-06,0.000843554696044321,"0.526,0.551,0.477","0.844,0.766,0.919",-0.325
287,"ENSG00000079974.19","RABL2B","chr22","-",50782187,50782351,50782187,50782347,50783500,50783636,287,"9,8,5","44,66,29","10,51,15","26,57,31",153,149,7.60848680026e-06,0.000878732070450282,"0.166,0.106,0.144","0.272,0.466,0.32",-0.214
12719,"ENSG00000104518.11","GSDMD","chr8","+",143558361,143558451,143558377,143558451,143555933,143556030,12719,"29,88,77","0,0,3","45,70,23","6,5,6",165,149,7.72752190437e-06,0.000881323873193398,"1.0,1.0,0.959","0.871,0.927,0.776",0.128
3954,"ENSG00000291151.1","NSUN5P1","chr7","+",75415980,75416191,75416102,75416191,75415595,75415770,3954,"40,44,50","0,8,4","47,57,40","0,0,0",271,149,9.17532926892e-06,0.000984890638230895,"1.0,0.751,0.873","1.0,1.0,1.0",-0.125
9563,"ENSG00000051825.15","MPHOSPH9","chr12","-",123227462,123227616,123227462,123227572,123230260,123230522,9563,"25,35,32","11,12,17","26,22,25","0,3,3",193,149,1.00531216179e-05,0.00104232592774681,"0.637,0.692,0.592","1.0,0.85,0.865",-0.265
2972,"ENSG00000062524.16","LTK","chr15","-",41507094,41507290,41507094,41507174,41507561,41507657,2972,"11,21,5","0,0,0","24,8,24","2,0,10",265,149,1.11623583338e-05,0.00111816900133711,"1.0,1.0,1.0","0.871,1.0,0.574",0.185
7554,"ENSG00000291091.1","SDHAP4","chr3","-",197614026,197614842,197614026,197614622,197615563,197615685,7554,"14,2,17","10,7,9","0,6,2","11,19,26",369,149,1.13262961692e-05,0.00111816900133711,"0.361,0.103,0.433","0.0,0.113,0.03",0.251
13174,"ENSG00000178917.19","ZNF852","chr3","-",44499301,44500637,44499301,44500634,44502541,44502668,13174,"15,22,11","12,6,7","7,17,16","1,0,2",152,149,1.13973824117e-05,0.00111816900133711,"0.551,0.782,0.606","0.873,1.0,0.887",-0.274
15145,"ENSG00000175166.17","PSMD2","chr3","+",184301770,184302071,184301857,184302071,184301536,184301658,15145,"69,76,81","0,21,0","99,110,106","0,0,0",236,149,1.3420867738e-05,0.0012623917241393,"1.0,0.696,1.0","1.0,1.0,1.0",-0.101
13368,"ENSG00000148356.15","LRSAM1","chr9","+",127487536,127487763,127487675,127487763,127485735,127485840,13368,"2,2,1","0,2,0","1,0,0","6,4,3",288,149,1.37040383219e-05,0.00126639304224465,"1.0,0.341,1.0","0.079,0.0,0.0",0.754
77,"ENSG00000077713.19","SLC25A43","chrX","+",119451849,119452143,119452008,119452143,119426181,119426354,77,"8,9,8","1,0,0","5,4,2","0,5,5",308,149,1.59988080616e-05,0.00142568090261513,"0.795,1.0,1.0","1.0,0.279,0.162",0.451
11918,"ENSG00000087085.16","ACHE","chr7","-",100893164,100894252,100893164,100893904,100895801,100895920,11918,"26,20,37","0,0,0","53,47,33","3,0,8",497,149,1.60943810795e-05,0.00142568090261513,"1.0,1.0,1.0","0.841,1.0,0.553",0.202
15249,"ENSG00000161813.23","LARP4","chr12","+",50427761,50427909,50427764,50427909,50420787,50420887,15249,"3,12,16","0,7,3","6,2,2","0,0,0",152,149,1.89734785322e-05,0.00163315111441314,"1.0,0.627,0.839","1.0,1.0,1.0",-0.178
6439,"ENSG00000123473.17","STIL","chr1","-",47312947,47313156,47312947,47313021,47314035,47314147,6439,"21,12,22","6,3,0","9,3,4","0,0,0",284,149,2.13577470358e-05,0.00177152803595127,"0.647,0.677,1.0","1.0,1.0,1.0",-0.225
8030,"ENSG00000158806.14","NPM2","chr8","+",22024723,22025306,22025215,22025306,22024133,22024623,8030,"18,15,20","0,0,1","21,25,18","1,4,2",641,149,2.11905892911e-05,0.00177152803595127,"1.0,1.0,0.823","0.83,0.592,0.677",0.241
2865,"ENSG00000090905.19","TNRC6A","chr16","+",24805604,24805733,24805673,24805733,24805013,24805151,2865,"90,73,69","4,0,0","77,105,64","11,5,7",218,149,2.24404904934e-05,0.00184456788524128,"0.939,1.0,1.0","0.827,0.935,0.862",0.105
3558,"ENSG00000293491.1","TMEM198B","chr12","+",55832958,55833541,55833446,55833541,55831256,55831349,3558,"20,16,21","0,1,0","10,13,7","6,3,0",637,149,2.31229773872e-05,0.00186702695292755,"1.0,0.789,1.0","0.28,0.503,1.0",0.335
10943,"ENSG00000130413.16","STK33","chr11","-",8474680,8475066,8474680,8474816,8477249,8477283,10943,"24,30,7","0,1,0","20,7,7","8,0,2",399,149,2.30678804071e-05,0.00186702695292755,"1.0,0.918,1.0","0.483,1.0,0.567",0.289
11247,"ENSG00000164520.12","RAET1E","chr6","-",149889884,149890145,149889884,149890041,149895845,149896059,11247,"4,10,21","1,2,14","19,10,9","0,0,2",253,149,2.40266476126e-05,0.00192297484927511,"0.702,0.746,0.469","1.0,1.0,0.726",-0.27
12309,"ENSG00000170949.18","ZNF160","chr19","-",53091412,53091553,53091412,53091529,53091636,53091720,12309,"2,0,0","6,17,32","7,6,0","16,12,1",173,149,2.65069472877e-05,0.00210303814828674,"0.223,0.0,0.0","0.274,0.301,0.0",-0.117
5481,"ENSG00000100425.19","BRD1","chr22","-",49787389,49787887,49787389,49787494,49794033,49794294,5481,"12,12,29","38,43,41","78,39,60","41,59,20",542,149,2.81745194152e-05,0.00217851114529055,"0.08,0.071,0.163","0.343,0.154,0.452",-0.212
5536,"ENSG00000214706.12","IFRD2","chr3","-",50289254,50289360,50289254,50289356,50289928,50290086,5536,"1,0,0","0,1,5","2,1,5","0,3,0",153,149,3.12745241394e-05,0.00237790631873238,"1.0,0.0,0.0","1.0,0.245,1.0",-0.415
3101,"ENSG00000162004.19","CCDC78","chr16","-",722921,723022,722921,723018,723094,723161,3101,"2,5,1","0,0,0","13,2,9","3,0,5",153,149,3.1560086631e-05,0.00237978702827474,"1.0,1.0,1.0","0.808,1.0,0.637",0.185
625,"ENSG00000196756.15","SNHG17","chr20","-",38425934,38426052,38425934,38426048,38426418,38426503,625,"0,4,5","11,1,7","0,0,0","10,32,8",153,149,3.26943760093e-05,0.00242523159925897,"0.0,0.796,0.41","0.0,0.0,0.0",0.402
6025,"ENSG00000137494.14","ANKRD42","chr11","+",83212652,83215200,83212978,83215200,83211294,83211430,6025,"66,40,41","8,0,2","31,35,14","0,0,0",475,149,3.330731093e-05,0.0024507734268171,"0.721,1.0,0.865","1.0,1.0,1.0",-0.138
3334,"ENSG00000020577.14","SAMD4A","chr14","+",54784339,54784620,54784536,54784620,54776413,54776540,3334,"0,0,0","14,23,7","4,7,1","22,16,3",346,149,3.38445777482e-05,0.00247038341899661,"0.0,0.0,0.0","0.073,0.159,0.126",-0.119
3612,"ENSG00000137221.14","TJAP1","chr6","+",43498974,43499100,43498977,43499100,43497880,43497977,3612,"42,53,32","46,64,35","77,77,89","38,51,41",152,149,3.51928302009e-05,0.00254840779962708,"0.472,0.448,0.473","0.665,0.597,0.68",-0.183
11237,"ENSG00000117533.15","VAMP4","chr1","-",171719170,171719221,171719170,171719218,171728523,171728570,11237,"30,24,38","0,0,0","17,35,19","0,6,4",152,149,3.97424785823e-05,0.00272370169636102,"1.0,1.0,1.0","1.0,0.851,0.823",0.109
15261,"ENSG00000184271.18","POU6F1","chr12","-",51198549,51198775,51198549,51198686,51199746,51199868,15261,"5,5,0","10,7,14","0,0,0","2,16,5",238,149,3.94812923835e-05,0.00272370169636102,"0.238,0.309,0.0","0.0,0.0,0.0",0.182
3062,"ENSG00000185100.12","ADSS1","chr14","+",104739654,104739816,104739766,104739816,104739327,104739378,3062,"3,6,5","12,2,4","9,3,3","1,1,0",261,149,4.23242592584e-05,0.00283945986377678,"0.125,0.631,0.416","0.837,0.631,1.0",-0.432
11685,"ENSG00000109381.21","ELF2","chr4","-",139071865,139072039,139071865,139072003,139073453,139073567,11685,"24,54,32","32,40,32","43,51,31","12,19,13",185,149,4.27601103029e-05,0.00284776092265445,"0.377,0.521,0.446","0.743,0.684,0.658",-0.247
9162,"ENSG00000197635.11","DPP4","chr2","-",162047402,162047501,162047402,162047498,162073398,162073486,9162,"11,31,10","5,9,7","10,4,12","1,1,0",152,149,4.35810387595e-05,0.0028606719254797,"0.683,0.772,0.583","0.907,0.797,1.0",-0.222
14252,"ENSG00000105227.16","PRX","chr19","-",40393765,40398015,40393765,40397970,40398619,40398816,14252,"5,2,6","18,22,13","3,0,0","33,39,24",194,149,4.33469587212e-05,0.0028606719254797,"0.176,0.065,0.262","0.065,0.0,0.0",0.146
4558,"ENSG00000070669.17","ASNS","chr7","-",97854579,97854754,97854579,97854680,97856689,97856816,4558,"1,5,2","1,0,0","7,2,0","0,9,4",223,149,4.39381087158e-05,0.00286350931373542,"0.401,1.0,1.0","1.0,0.129,0.0",0.424
7473,"ENSG00000042429.12","MED17","chr11","+",93794907,93796540,93796409,93796540,93790573,93790793,7473,"3,10,6","0,0,0","10,14,12","0,3,2",1651,149,4.43967326537e-05,0.00287287793427205,"1.0,1.0,1.0","1.0,0.296,0.351",0.451
83,"ENSG00000157600.12","TMEM164","chrX","+",110003500,110004164,110003882,110004164,110003114,110003178,83,"88,91,108","0,1,0","115,105,93","6,1,5",531,149,4.74634364599e-05,0.00294151736666481,"1.0,0.962,1.0","0.843,0.967,0.839",0.104
12585,"ENSG00000286619.1","PM20D1-AS1","chr1","+",205894167,205896074,205894466,205896074,205891155,205891309,12585,"55,21,14","1,7,7","30,37,21","0,2,0",448,149,4.69103061164e-05,0.00294151736666481,"0.948,0.499,0.399","1.0,0.86,1.0",-0.338
14210,"ENSG00000142046.15","TMEM91","chr19","+",41383560,41384083,41383885,41384083,41382771,41382921,14210,"27,2,32","1,0,0","10,31,8","6,4,0",474,149,4.80366163561e-05,0.00294151736666481,"0.895,1.0,1.0","0.344,0.709,1.0",0.281
2739,"ENSG00000250067.12","YJEFN3","chr19","+",19533103,19535144,19535033,19535144,19532631,19532740,2739,"49,60,89","1,7,0","65,88,51","0,0,0",2079,149,4.90876454098e-05,0.00297789482281528,"0.778,0.381,1.0","1.0,1.0,1.0",-0.28
14213,"ENSG00000142046.15","TMEM91","chr19","+",41383714,41384083,41383885,41384083,41382771,41382921,14213,"17,4,27","1,0,0","13,25,5","6,4,0",320,149,4.92834412807e-05,0.00297789482281528,"0.888,1.0,1.0","0.502,0.744,1.0",0.214
10516,"ENSG00000170581.15","STAT2","chr12","-",56348923,56349083,56348923,56349029,56349162,56349261,10516,"10,9,5","1,0,0","3,8,5","2,10,0",203,149,4.97572960705e-05,0.00298674716675817,"0.88,1.0,1.0","0.524,0.37,1.0",0.329
14253,"ENSG00000105227.16","PRX","chr19","-",40393765,40398041,40393765,40397970,40398619,40398816,14253,"5,2,6","18,22,13","3,0,0","33,39,24",220,149,5.01811097877e-05,0.00299249964511748,"0.158,0.058,0.238","0.058,0.0,0.0",0.132
2772,"ENSG00000140400.18","MAN2C1","chr15","-",75359058,75359425,75359058,75359191,75359619,75359775,2772,"8,22,50","5,0,4","19,37,26","0,0,0",383,149,5.10625299643e-05,0.00302528911294983,"0.384,1.0,0.829","1.0,1.0,1.0",-0.262
15204,"ENSG00000249859.14","PVT1","chr8","+",128070159,128070272,128070161,128070272,127989161,127989291,15204,"15,7,17","0,1,8","37,29,29","0,0,0",151,149,5.28251827747e-05,0.00310952882346041,"1.0,0.874,0.677","1.0,1.0,1.0",-0.15
5143,"ENSG00000114654.8","EFCC1","chr3","+",129032818,129032966,129032821,129032966,129030702,129030860,5143,"5,11,3","2,10,5","3,6,10","2,0,0",152,149,5.41879226558e-05,0.00314911214211159,"0.71,0.519,0.37","0.595,1.0,1.0",-0.332
15778,"ENSG00000170919.16","TPT1-AS1","chr13","+",45390713,45390902,45390757,45390902,45389734,45389820,15778,"13,19,17","3,3,3","5,12,5","0,0,0",193,149,5.82325338737e-05,0.00327971382138049,"0.77,0.83,0.814","1.0,1.0,1.0",-0.195
5091,"ENSG00000197748.13","CFAP43","chr10","-",104205962,104206033,104205962,104206030,104207664,104207824,5091,"3,8,19","0,2,6","18,13,5","0,0,0",152,149,6.11048757937e-05,0.00339951760208365,"1.0,0.797,0.756","1.0,1.0,1.0",-0.149
1081,"ENSG00000236144.9","TMEM147-AS1","chr19","-",35541750,35542074,35541750,35541928,35542910,35543273,1081,"28,39,20","2,2,8","14,30,16","1,0,0",295,149,6.50488511174e-05,0.00359700434906156,"0.876,0.908,0.558","0.876,1.0,1.0",-0.178
1969,"ENSG00000108599.15","AKAP10","chr17","-",19962839,19962991,19962839,19962966,19968413,19968461,1969,"8,16,13","0,1,0","6,14,11","2,8,0",174,149,6.59842430514e-05,0.00362674839518659,"1.0,0.932,1.0","0.72,0.6,1.0",0.204
5813,"ENSG00000115568.16","ZNF142","chr2","-",218651700,218652300,218651700,218651822,218656149,218656463,5813,"29,27,30","2,0,0","32,25,35","3,4,5",627,149,6.67932744184e-05,0.00364923254966157,"0.775,1.0,1.0","0.717,0.598,0.625",0.278
7476,"ENSG00000042429.12","MED17","chr11","+",93809716,93812378,93811852,93812378,93807517,93807635,7476,"219,189,198","0,1,0","185,176,161","3,6,0",2285,149,6.97845436336e-05,0.00376753950362702,"1.0,0.925,1.0","0.801,0.657,1.0",0.156
6034,"ENSG00000125846.17","ZNF133","chr20","+",18305660,18305807,18305680,18305807,18289898,18290074,6034,"2,2,0","0,0,2","0,0,1","6,5,4",169,149,7.10013254277e-05,0.0038106829011902,"1.0,1.0,0.0","0.0,0.0,0.181",0.606
175,"ENSG00000158813.18","EDA","chrX","+",70033397,70033522,70033406,70033522,70030468,70030520,175,"13,18,20","0,0,0","11,10,17","3,3,2",158,149,7.34036211227e-05,0.00389380604141578,"1.0,1.0,1.0","0.776,0.759,0.889",0.192
5261,"ENSG00000204536.15","CCHCR1","chr6","-",31157022,31157155,31157022,31157089,31158170,31158194,5261,"2,4,4","0,0,0","2,11,6","1,0,9",215,149,7.43279733211e-05,0.00392004872012553,"1.0,1.0,1.0","0.581,1.0,0.316",0.368
15459,"ENSG00000233184.9","DPH5-DT","chr1","+",101080388,101083574,101083460,101083574,101075394,101075716,15459,"26,36,20","0,7,4","41,34,14","0,0,1",3221,149,7.60669554705e-05,0.003988706331683,"1.0,0.192,0.188","1.0,1.0,0.393",-0.338
15322,"ENSG00000197757.8","HOXC6","chr12","+",54028575,54028921,54028695,54028921,54015896,54017414,15322,"44,68,51","10,0,10","19,36,46","2,0,0",269,149,7.79838328376e-05,0.0040658542332015,"0.709,1.0,0.739","0.84,1.0,1.0",-0.131
